Player,Team,Position,Age,Matches played,Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Interceptions per 90,PAdj Interceptions,Crosses per 90,"Accurate crosses, %","Accurate forward passes, %","Accurate long passes, %",Passes to final third per 90,"Accurate passes to final third, %"
K. Girvan,Elgin City,"RB, RCB, RWB",23,28,2276,12.39,7.66,72.58,5.89,54.55,6.38,8.36,1.11,37.04,57.46,43.85,4.32,50.48
O. Cairns,Elgin City,"RB, LB",26,25,1456,11.17,9.45,72.03,4.56,33.33,4.1,5.83,2.51,39.47,54.43,43.75,5.35,40.74
L. Booth,Elgin City,"LB, LWB",22,24,2228,11.07,8.93,59.28,5.33,50,5.29,6.99,2.71,38.81,57.53,43.88,5.61,54.68
C. Booth,Spartans,LB,33,24,2066,7.06,4.97,70.18,2.88,66.67,2.88,4.13,3.57,40.24,69.36,49.19,6.45,60.14
Tommy Robson,Clyde,LB,29,26,2359,7.4,4.92,71.32,2.14,37.5,3.89,5.75,2.17,40.35,56.02,41.39,9.65,52.96
C. Dunne,Peterhead,LB,25,31,2918,8.05,6.08,69.04,2,33.85,3.76,6.29,4.84,35.03,62.8,43.65,4.38,62.68
J. Armstrong,Peterhead,"LB, LCB",26,4,213,12.25,8.87,71.43,4.23,60,5.92,11.05,0.85,0,63.04,56,6.34,40
S. Docherty,Stranraer,"RB, RAMF",21,16,719,13.77,10.64,61.18,3.76,33.33,5.13,7.69,2.63,38.1,54.1,43.08,5.88,53.19
S. Murdoch,East Fife,"RB, RCB",34,19,1473,8.55,5.99,63.27,4.77,60.26,4.15,6.56,1.41,17.39,56.15,39.88,10.39,52.94
D. Denholm,Forfar Athletic,"LB, LW",34,14,711,6.84,4.43,68.57,9.11,47.22,3.67,6.17,1.77,28.57,54.63,41.18,6.58,38.46
J. Harkness,Stirling Albion,"RB, RWB",21,22,1836,9.66,7.4,62.25,2.99,59.02,4.56,6.07,2.75,26.79,56.03,45,3.58,49.32
D. Strachan,Peterhead,RB,22,25,1760,9.05,6.29,69.92,6.49,51.18,4.4,7.23,2.61,35.29,57,44.68,6.03,55.08
M. Taylor,Forfar Athletic,"LB, LW",25,17,1178,9.32,7.56,73.74,2.67,57.14,3.51,5.43,3.06,22.5,49.28,37.29,4.58,38.33
J. Houston,Clyde,RB,25,16,1296,9.65,8.33,62.5,3.61,46.15,4.31,5.94,3.33,39.58,49.84,35.88,10.21,44.22
S. McIntosh,Stranraer,"RB, RWB",28,8,533,12.33,7.77,58.7,4.73,57.14,7.09,10.33,1.86,9.09,56.18,32.35,5.07,53.33
R. Whittaker,Spartans,"RB, RW, RAMF",17,10,315,6.86,7.14,68,2.57,55.56,2,3.09,0.57,100,45.45,18.18,4,28.57
B. Scarborough,Bonnyrigg Rose Athletic,LB,,13,678,11.55,9.16,62.32,5.84,70.45,5.44,7.99,2.92,40.91,42.17,28.57,6.11,41.3
G. Walker,East Fife,"RB, RW",25,11,731,7.51,4.8,58.97,4.56,62.16,4.06,6.23,2.71,22.73,54.79,40,9.97,53.09
L. Lorimer,Bonnyrigg Rose Athletic,"RB, RAMF, RW",19,11,415,8.67,7.59,62.86,4.12,47.37,2.82,4.76,2.39,27.27,59.32,38.1,4.77,40.91
S. Reekie,Forfar Athletic,RB,24,4,169,13.31,7.46,64.29,0.53,100,8.52,10.43,2.13,75,69.44,71.43,4.26,37.5
C. Goldie,Peterhead,"RB, LCB",20,19,1516,10.75,7.24,66.39,5.16,47.13,5.52,9.55,1.37,34.78,68.57,52.29,7.3,67.48
L. Newton,East Fife,LB,22,14,988,10.84,8.74,68.75,7.56,54.22,4.46,6.87,2.55,25,63.85,45.35,7.29,68.75
J. Walker,Peterhead,LB,24,4,171,14.21,8.95,76.47,0.53,100,7.37,10.5,1.05,50,65.71,58.33,2.63,60
P. Slattery,East Fife,"LB, LDMF, LCMF",31,16,418,7.54,7.75,63.89,6.24,51.72,2.58,4.5,1.94,22.22,49.32,31.25,8.18,42.11
R. Peggie,East Fife,"LB, LW",26,28,2369,10.83,7.14,70.21,6.27,53.33,5.66,8.76,2.74,25,60.16,44.92,4.79,58.73
A. Weir,Stirling Albion,"RB, RWB",,9,495,9.27,10,54.55,5.27,58.62,3.09,3.98,2.55,21.43,46.43,29.17,4.73,50
C. Hannah,Clyde,"LB, LAMF, LW",19,7,316,5.13,6.27,50,3.99,35.71,1.99,2.88,3.7,0,56.1,25,6.84,66.67
R. Lyon,Clyde,"RB, LB, LW",27,15,1138,6.09,5.38,57.35,3.56,28.89,3.01,4.32,3.8,43.75,59.23,49.61,9.65,59.02
D. Hynes,Clyde,RB,26,11,645,11.58,7.95,66.67,3.07,45.45,6.14,9.17,3.21,39.13,50,39.77,10.88,41.03
