Player,Team,Position,Age,Matches played,Minutes played,Goals,Assists,Successful attacking actions per 90,Goals per 90,Shots per 90,"Shots on target, %",Assists per 90,Crosses per 90,"Accurate crosses, %","Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Progressive runs per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %","Accurate passes to penalty area, %"
J. Maclver,Elgin City,"RAMF, RWB, RB",,10,723,1,2,5.2,0.12,2.53,22.22,0.28,4.91,40,57.58,8.14,46.55,2.39,1.4,26.54,67.2,51.52
M. Dangana,Elgin City,"RWF, CF",21,2,59,0,0,3.05,0,1.53,100,0,0,0,33.33,16.78,27.27,1.53,1.53,15.25,60,0
R. Sargent,Elgin City,"LAMF, CF, AMF",24,30,1681,2,2,2.03,0.11,1.07,31.58,0.11,1.91,29.41,40.43,9.91,21.59,1.18,0.9,20.71,66.85,39.47
K. Leslie,Elgin City,RAMF,20,20,1037,0,1,4.07,0,1.27,35.71,0.09,3.34,24.32,47.54,12.92,39.86,2.62,2.44,20.51,66.52,34.21
M. McKenna,East Fife,"RAMF, RW, AMF",34,10,949,1,0,3.03,0.09,1.33,42.86,0,2.85,23.33,60.71,6.16,43.08,0.76,1.14,39.55,67.87,42.22
A. Arnott,Bonnyrigg Rose Athletic,"LAMF, RAMF, AMF",21,24,1553,1,1,2.32,0.06,1.1,15.79,0.06,1.91,45.45,39.62,8.52,29.25,1.27,0.81,28.63,68.62,45.24
K. McKinstray,Stirling Albion,"RAMF, LCMF, RW",18,9,279,0,0,0.97,0,0.32,100,0,0.32,0,66.67,5.48,23.53,0,0.97,32.9,71.57,57.14
M. Grant,Stranraer,"RW, RWB",23,18,1054,1,0,5.21,0.09,1.28,40,0,3.42,32.5,67.74,10.59,45.16,2.73,0.51,32.19,62.07,29.41
H. Howe,Stirling Albion,"RW, LW",,2,83,0,0,2.17,0,1.08,100,0,1.08,100,0,4.34,25,1.08,0,13.01,75,100
C. Crane,Stirling Albion,"LWB, LB, LW",29,24,2039,1,0,2.07,0.04,0.71,37.5,0,1.77,35,66.67,3.8,54.65,1.54,0.49,43.12,68.68,40.51
B. Barrett,Bonnyrigg Rose Athletic,"LAMF, LW, RW",24,20,1560,2,2,2.48,0.12,1.79,22.58,0.12,2.25,20.51,42.19,8.42,32.88,0.75,1.15,19.79,57.43,29.27
